pctOwnCrops,pctIncWage,pctIncCashCrops,disasterCoping,LZCODE
76,26,0,25.2,MW01
55,30.09708738,0,16.89320388,MW02
55,21.88662727,73.18888159,2.735828409,MW03
52,16.48308726,0,7.96812749,MW04
69,22.7571116,0,16.63019694,MW05
55,30.58103976,0,19.57186544,MW06
74,9.74,0,10.39,MW07
67,24.18,11.28,8.06,MW08
88,24.67,0,9.46,MW09
68,36.31647211,0,15.47773454,MW10
61,19.97146933,0,76.17689016,MW11
52,24.78244419,0,13.16685585,MW12
58,16.3,0,10.96,MW13
54,45.54,0,5.54,MW14
46,50.33,0,8.93,MW15
47,42,10.26,9.44,MW16
53,14.26,75.08,0,MW17